customerID,MonthlyCharges,TotalCharges,churn_probability
7024-OHCCK,93.85,170.85,0.9393875409237102
2720-WGKHP,94.0,181.7,0.9364857145704043
7216-EWTRS,100.8,100.8,0.9339066087930037
8098-LLAZX,95.45,396.1,0.9309712710187988
8149-RSOUN,93.85,93.85,0.928453562679407
1069-XAIEM,85.05,85.05,0.924872832787018
7851-WZEKY,95.15,196.9,0.9222000221895371
0196-VULGZ,84.35,474.9,0.9207090413678194
2012-NWRPA,99.55,1131.2,0.9192245281134538
7668-XCFYV,92.55,1614.7,0.91738336202197
8884-ADFVN,101.95,700.85,0.9170457908122165
3068-OMWZA,88.8,88.8,0.9161286263904486
9057-SIHCH,96.6,291.9,0.9152212691060992
4626-GYCZP,93.85,635.6,0.9138075261617477
8161-QYMTT,94.1,701.3,0.9113837759174398
2982-VPSGI,94.0,1078.9,0.909966045619985
9282-IZGQK,85.0,85.0,0.9098803231118628
3320-VEOYC,95.6,1273.3,0.9090113022020483
4102-OQUPX,74.4,74.4,0.9082736190357471
8058-JMEQO,84.45,762.5,0.9081613420911107
3452-GWUIN,94.95,1760.25,0.906844123082572
2205-YMZZJ,84.8,546.95,0.9048655324100949
4713-LZDRV,79.6,195.05,0.9038383394843893
2642-DTVCO,85.05,746.5,0.9031441571466354
3027-ZTDHO,89.9,89.9,0.9029134060021992
1626-ERCMM,94.55,1899.65,0.9010859583935135
4587-VVTOX,105.3,545.2,0.9007217002768695
6230-BSUXY,85.0,85.0,0.8996060858934279
8337-UPOAQ,89.8,914.3,0.8992956278021763
0722-TROQR,74.9,321.75,0.8954136730178944
6969-MVBAI,90.1,816.8,0.8941892179051245
4078-SAYYN,100.75,1129.75,0.8938819785792009
4951-UKAAQ,88.95,355.2,0.8919916236249587
8348-HFYIV,49.25,90.35,0.891064580243755
6161-UUUTA,79.9,260.9,0.8907204673542973
0495-RVCBF,79.7,79.7,0.8891343303447861
0754-UKWQP,95.85,197.7,0.8890014355342905
4415-IJZTP,74.5,74.5,0.8885166849764216
2495-INZWQ,44.55,174.3,0.8884364936795345
4844-JJWUY,86.0,86.0,0.8869532230416269
1941-HOSAM,90.1,90.1,0.8867978717422754
3387-VATUS,94.85,462.8,0.8867689544704548
3606-TWKGI,106.9,1364.3,0.88657144488271
2077-MPJQO,75.4,533.05,0.8852998000010314
6688-UZPWD,102.0,1145.35,0.885044613389003
7402-EYFXX,93.6,2404.1,0.884881115733411
5380-AFSSK,93.9,486.85,0.8837181293226206
6702-OHFWR,43.3,43.3,0.8830715165565926
6583-KQJLK,94.65,1285.05,0.8829578768928033
3473-XIIIT,100.0,1534.75,0.8829016194390784
5550-VFRLC,69.85,69.85,0.8824300254829599
6229-LSCKB,79.7,497.6,0.8820193262689767
5995-SNNEW,104.45,2184.85,0.8817467032819482
1363-TXLSL,70.3,70.3,0.8814587158856447
0655-RBDUG,98.05,713.0,0.8813992695521607
4514-GFCFI,84.75,1350.15,0.8811531379058763
9957-YODKZ,80.8,457.1,0.8811507400170817
4952-YSOGZ,85.95,381.3,0.8809178135617536
9787-XVQIU,75.3,75.3,0.8806415757635395
5868-YWPDW,84.2,519.15,0.8804394546544159
0365-BZUWY,102.55,1742.5,0.8794859694400947
1761-AEZZR,79.55,79.55,0.8793729595857723
8062-YBDOE,69.65,69.65,0.8792448156408172
8086-OVPWV,80.2,181.1,0.8785294373469131
8225-BTJAU,79.25,793.55,0.8779603170424731
0404-SWRVG,74.4,229.55,0.8776703045344758
0375-HVGXO,34.7,34.7,0.8776151250894748
5288-AHOUP,78.5,874.2,0.8776116739867472
5644-PDMZC,89.5,161.5,0.8774095624612743
9603-OAIHC,70.05,70.05,0.8772426212773511
8752-STIVR,79.0,303.15,0.8765611068541013
6892-XPFPU,104.25,2433.9,0.8761080999283529
7273-TEFQD,41.15,132.2,0.8759976541016212
9488-HGMJH,71.15,71.15,0.8759681602021655
2691-NZETQ,85.35,758.6,0.8757201214571325
2880-FPNAE,74.2,140.1,0.8756900388133753
2609-IAICY,77.15,77.15,0.8756241798425997
2789-HQBOU,80.35,253.8,0.8746643791596824
3217-FZDMN,94.45,742.95,0.874459642471366
7439-DKZTW,80.55,80.55,0.8743185857651125
4234-XTNEA,79.95,174.45,0.8732379233517771
5698-BQJOH,94.4,857.25,0.8730883433790008
7548-SEPYI,96.25,512.45,0.8728130658848495
9172-ANCRX,98.7,973.25,0.8722420800064026
6979-ZNSFF,87.05,762.1,0.8721858852947222
0023-HGHWL,25.1,25.1,0.8715884128112029
9391-EOYLI,80.45,950.2,0.8714905971663166
2959-MJHIC,80.35,307.4,0.8710471995421531
7044-YAACC,70.2,280.35,0.870662461546493
0122-OAHPZ,73.85,511.25,0.8705797303440663
0637-KVDLV,76.5,162.45,0.8704838588269941
1200-TUZHR,85.2,695.75,0.870073576266216
9885-CSMWE,78.45,78.45,0.8693925054581784
7493-TPUWZ,79.15,79.15,0.86882715875136
0679-IDSTG,69.25,69.25,0.8677848637240868
7594-RQHXR,79.6,79.6,0.8667986944032586
5429-LWCMV,89.15,1057.55,0.8664828725084558
2876-GZYZC,85.95,1215.65,0.866299577333946
8443-ZRDBZ,76.05,318.9,0.8650115112462968
5835-BEQEU,76.95,228.4,0.8648926179811914
3750-CKVKH,67.75,116.65,0.8638903963267468
7660-HDPJV,69.2,69.2,0.8635899904620561
4229-CZMLL,74.9,469.8,0.8630382430590792
7969-AULMZ,97.35,2119.5,0.8623949759390034
2272-QAGFO,74.3,1096.25,0.860918936556444
9279-CJEOJ,95.4,2025.1,0.8606248343693865
8118-LSUEL,106.4,2483.5,0.8602847387822145
2612-RRIDN,81.0,340.85,0.8601762449743382
5609-CEBID,94.1,1782.4,0.859841513410199
6689-TCZHQ,78.95,378.4,0.8596383640533675
0328-GRPMV,70.1,70.1,0.8585505355325335
4702-IOQDC,70.1,70.1,0.8585505355325335
3428-XZMAZ,69.35,69.35,0.8579907900246315
1640-PLFMP,70.25,70.25,0.8576956659964702
3244-DCJWY,70.25,70.25,0.8576956659964702
3677-IYRBF,30.4,78.65,0.8571791628889652
4482-EWFMI,69.7,135.2,0.8568284994891769
3338-CVVEH,94.55,1173.55,0.8568152708463889
5167-ZFFMM,90.85,90.85,0.8567063615115358
6502-MJQAE,69.6,69.6,0.8565589124338965
7254-IQWOZ,69.65,69.65,0.8562710986189974
2107-FBPTK,104.1,3121.1,0.8560517401919613
2516-VQRRV,75.45,158.4,0.8557211630604027
7994-UYIVZ,85.65,659.45,0.855582306630022
4510-HIMLV,69.8,69.8,0.8554047731285908
9804-ICWBG,69.9,69.9,0.8548248153246667
1031-IIDEO,70.85,70.85,0.8542330257078288
4813-HQMGZ,90.25,743.75,0.854118045351661
1636-NTNCO,50.95,207.35,0.8537627909860803
0928-JMXNP,29.9,118.25,0.8536927248028814
4123-DVHPH,88.05,801.3,0.853458218243958
7365-BVCJH,24.4,24.4,0.851599848422089
5349-IECLD,94.95,178.1,0.8513075046034647
9237-HQITU,70.7,151.65,0.8501190776967972
8714-CTZJW,82.85,319.6,0.8482382721648295
7314-OXENN,82.0,184.65,0.847847291494978
9717-QEBGU,70.3,144.0,0.8478426793287653
2777-PHDEI,78.05,78.05,0.847313312233758
3957-LXOLK,106.15,3152.5,0.8469182192623119
9547-ITEFG,102.6,897.75,0.8456180237131062
4385-GZQXV,94.45,1511.2,0.8453183331260073
9912-GVSEQ,93.85,2381.55,0.844854875968471
4598-XLKNJ,98.5,2514.5,0.8444752187319968
9314-IJWSQ,84.8,1203.9,0.8444367599376021
9846-GKXAS,90.8,809.75,0.8439046142655869
6215-NQCPY,99.7,1566.75,0.8431464994433538
6047-YHPVI,69.7,316.9,0.8400237442693523
2058-DCJBE,69.75,324.6,0.8392114481441344
3565-UNOCC,99.05,2952.85,0.8390633300630219
2984-AFWNC,95.4,293.15,0.8381372166937093
9102-IAYHT,85.45,1451.6,0.8376999354935634
5366-IJEQJ,88.7,1761.45,0.8371161651470909
3707-GNWHM,74.25,74.25,0.8365325167710576
3453-RTHJQ,69.1,435.0,0.8354153448564631
5673-FSSMF,60.15,60.15,0.8347383235421767
8183-ONMXC,80.75,159.45,0.8346584308654462
5564-NEMQO,75.3,75.3,0.8331995042441224
0689-NKYLF,83.2,1060.6,0.8331679071749913
