customerID,MonthlyCharges,TotalCharges,churn_probability,risk_decile
7024-OHCCK,93.85,170.85,0.9393875409237102,10
2720-WGKHP,94.0,181.7,0.9364857145704043,10
7216-EWTRS,100.8,100.8,0.9339066087930037,10
8098-LLAZX,95.45,396.1,0.9309712710187988,10
8149-RSOUN,93.85,93.85,0.928453562679407,10
1069-XAIEM,85.05,85.05,0.924872832787018,10
7851-WZEKY,95.15,196.9,0.9222000221895371,10
0196-VULGZ,84.35,474.9,0.9207090413678194,10
2012-NWRPA,99.55,1131.2,0.9192245281134538,10
7668-XCFYV,92.55,1614.7,0.91738336202197,10
8884-ADFVN,101.95,700.85,0.9170457908122165,10
3068-OMWZA,88.8,88.8,0.9161286263904486,10
9057-SIHCH,96.6,291.9,0.9152212691060992,10
4626-GYCZP,93.85,635.6,0.9138075261617477,10
8161-QYMTT,94.1,701.3,0.9113837759174398,10
2982-VPSGI,94.0,1078.9,0.909966045619985,10
9282-IZGQK,85.0,85.0,0.9098803231118628,10
3320-VEOYC,95.6,1273.3,0.9090113022020483,10
4102-OQUPX,74.4,74.4,0.9082736190357471,10
8058-JMEQO,84.45,762.5,0.9081613420911107,10
3452-GWUIN,94.95,1760.25,0.906844123082572,10
2205-YMZZJ,84.8,546.95,0.9048655324100949,10
4713-LZDRV,79.6,195.05,0.9038383394843893,10
2642-DTVCO,85.05,746.5,0.9031441571466354,10
3027-ZTDHO,89.9,89.9,0.9029134060021992,10
1626-ERCMM,94.55,1899.65,0.9010859583935135,10
4587-VVTOX,105.3,545.2,0.9007217002768695,10
6230-BSUXY,85.0,85.0,0.8996060858934279,10
8337-UPOAQ,89.8,914.3,0.8992956278021763,10
0722-TROQR,74.9,321.75,0.8954136730178944,10
6969-MVBAI,90.1,816.8,0.8941892179051245,10
4078-SAYYN,100.75,1129.75,0.8938819785792009,10
4951-UKAAQ,88.95,355.2,0.8919916236249587,10
8348-HFYIV,49.25,90.35,0.891064580243755,10
6161-UUUTA,79.9,260.9,0.8907204673542973,10
0495-RVCBF,79.7,79.7,0.8891343303447861,10
0754-UKWQP,95.85,197.7,0.8890014355342905,10
4415-IJZTP,74.5,74.5,0.8885166849764216,10
2495-INZWQ,44.55,174.3,0.8884364936795345,10
4844-JJWUY,86.0,86.0,0.8869532230416269,10
1941-HOSAM,90.1,90.1,0.8867978717422754,10
3387-VATUS,94.85,462.8,0.8867689544704548,10
3606-TWKGI,106.9,1364.3,0.88657144488271,10
2077-MPJQO,75.4,533.05,0.8852998000010314,10
6688-UZPWD,102.0,1145.35,0.885044613389003,10
7402-EYFXX,93.6,2404.1,0.884881115733411,10
5380-AFSSK,93.9,486.85,0.8837181293226206,10
6702-OHFWR,43.3,43.3,0.8830715165565926,10
6583-KQJLK,94.65,1285.05,0.8829578768928033,10
3473-XIIIT,100.0,1534.75,0.8829016194390784,10
